"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796038034795708600","Thu May 30 11:55:23 +0000 2024","4","@Chinzilla_5 @kashmino @soualma_maroua Hyundai","1796148399026172238","","Chinzilla_5","in","","0","2","0","https://x.com/fkforever194049/status/1796148399026172238","1675203561062379521","fkforever194049"
"1795141783820624371","Mon May 27 17:15:28 +0000 2024","4","Hyundai N Vision 74 #ForzaHorizon5 https://t.co/UryoltCsOe","1795141783820624371","https://pbs.twimg.com/media/GOmf764W0AAMivH.jpg","","in","United States","0","0","0","https://x.com/xboxBG/status/1795141783820624371","1162186791442681856","xboxBG"
"1795075065123365187","Mon May 27 12:50:21 +0000 2024","0"," CALLING FOR RESPONDEN Haii temen-temenn adakah disini yang punya mobil listrik? contohnya Wulling Air Hyundai Ioniq dll. Kalau ada apakah berkenan jadi responden skripsii akuu? Kalo ada reply ya nanti aku ketuk dmnya Terimakasih yg udh mau bantu https://t.co/3gKSyZcXcY","1795075065123365187","https://pbs.twimg.com/media/GOljQeVa4AAFIRg.jpg","","in","Indonesia","0","0","0","https://x.com/tanyakanrl/status/1795075065123365187","1331650559518990336","tanyakanrl"
"1796560436114157812","Fri May 31 15:12:41 +0000 2024","4","#VehiclesInASongOrMovie Hyundai Bloody Hyundai","1796560436114157812","","","in","Westchester County, New York","0","1","0","https://x.com/DanielAshley13/status/1796560436114157812","631360495","DanielAshley13"
"1795413328564785401","Wed May 29 16:21:20 +0000 2024","2","@SelebtwitFess izin sharing kebetulan saya pengguna tucson 2014 awal. kalo lumayan sering ke pegunungan boleh coba ambil hyundai tucson. powernya lumayan handlingnya enak buat mobil sekelasnya. bbm dalkot 1:9 luar kota 1:14an. sparepart juga relatif gampang kok. mau diskusi dl jg boleh hehe https://t.co/beOk5SbjR7","1795852937639420356","https://pbs.twimg.com/media/GOwmuiIaAAAs-wW.jpg","SelebtwitFess","in","","0","2","2","https://x.com/artevoir29/status/1795852937639420356","1724783117138034688","artevoir29"
"1796095322537570418","Thu May 30 08:24:29 +0000 2024","4","Wow hyundai ","1796095322537570418","","","in","","0","0","0","https://x.com/memorysongs2023/status/1796095322537570418","1279989517483532290","memorysongs2023"
"1795132058739548342","Mon May 27 16:42:50 +0000 2024","5","@joncoupland Hyundai pony or Toyota starlet ?","1795133571885109372","","joncoupland","in","","0","1","0","https://x.com/matthews_1969/status/1795133571885109372","1661426006354264067","matthews_1969"
"1795067027633131730","Mon May 27 12:18:24 +0000 2024","0"," CALLING FOR RESPONDEN Haii temen-temenn adakah disini yang punya mobil listrik? contohnya Wulling Air Hyundai Ioniq dll. Kalau ada apakah berkenan jadi responden skripsii akuu? Kalo ada replyy ya nanti aku ketuk dmnya Terimakasih semoga akan ada hal baik (cont..) https://t.co/PwmZYkihGp","1795067027633131730","https://pbs.twimg.com/media/GOlb8lBaYAAP8cq.jpg","","in","","0","1","1","https://x.com/convomf/status/1795067027633131730","1314975287294083073","convomf"
"1795133468159975493","Mon May 27 19:51:57 +0000 2024","8","@baeskawaki Wow! Even Krunk has an endorsement deal with Hyundai Steel. YG flex ","1795181167420854782","","baeskawaki","in","USA","0","0","0","https://x.com/sunflowersarles/status/1795181167420854782","44062004","sunflowersarles"
"1796793336411685174","Sat Jun 01 11:34:55 +0000 2024","6","@midnightdorifto Dajiban!!! https://t.co/1CHewxl6ZW","1796868024739287128","https://pbs.twimg.com/tweet_video_thumb/GO_B7TXXUAAsaZt.jpg","midnightdorifto","in","Toronto","0","0","1","https://x.com/Humdrum_Haiku/status/1796868024739287128","575876540","Humdrum_Haiku"
"1795843823412920350","Wed May 29 17:36:43 +0000 2024","3","@bvicadrian Ba da cu Logan by Hyundai.","1795871910535795135","","bvicadrian","in","România","0","0","0","https://x.com/mizantropul1973/status/1795871910535795135","1505539066590289929","mizantropul1973"
"1795881980170510533","Wed May 29 22:40:51 +0000 2024","11","@kloppbalI Polo Ibiza Suzuki swift Hyundai i10/20 Yaris","1795948447679324436","","kloppbalI","in","England, United Kingdom","0","1","0","https://x.com/__MK97_/status/1795948447679324436","1724881237737984000","__MK97_"
"1795066686099374373","Mon May 27 12:17:03 +0000 2024","0","[cm] CALLING FOR RESPONDEN Haii temen-temenn adakah disini yang punya mobil listrik? contohnya Wulling Air Hyundai Ioniq dll. Kalau ada apakah berkenan jadi responden skripsii akuu? Kalo ada replyy ya nanti aku ketuk dmnya Terimakasih semoga akan ada hal (cont..) https://t.co/Kh5RBZxrPF","1795066686099374373","https://pbs.twimg.com/media/GOlbox1bUAANfPF.jpg","","in","","0","1","1","https://x.com/collegemenfess/status/1795066686099374373","1046084008742801408","collegemenfess"
"1795795829367693691","Wed May 29 12:34:24 +0000 2024","138","240529 귀여운 옷 Shalom 2024 SS PURO 24/06/13-24/06/19 Shalom 2024 PURO WORLD POP-UP The Hyundai Seoul https://t.co/u0FPF1uliE","1795795829367693691","https://pbs.twimg.com/media/GOvyvW4acAAJykb.jpg","","in","貓咪公主","2","0","29","https://x.com/hhhaerin515/status/1795795829367693691","1383724528572919812","hhhaerin515"
"1795067687212589316","Mon May 27 12:21:02 +0000 2024","0"," CALLING FOR RESPONDEN Haii temen-temenn adakah disini yang punya mobil listrik? contohnya Wulling Air Hyundai Ioniq dll. Kalau ada apakah berkenan jadi responden skripsii akuu? Kalo ada reply ya nanti aku ketuk dmnya Terimakasih yg udh mau bantu https://t.co/Z1HfT5MC9K","1795067687212589316","https://pbs.twimg.com/media/GOlcjAGboAAHMsi.jpg","","in","Indonesia","0","0","1","https://x.com/tanyarlfes/status/1795067687212589316","1371650588","tanyarlfes"
"1791806497317662946","Sat May 18 12:22:13 +0000 2024","13094","Sederhana tapi Hyundai Palisade nggak bisa","1791806497317662946","","","in","","202","356","1815","https://x.com/SelebtwitMobil/status/1791806497317662946","1484423320632438789","SelebtwitMobil"
"1796106654552936855","Fri May 31 05:22:58 +0000 2024","2","@sociotalker Scr kemampuan indo jelas punya ya.. yg ga ada tuh itikad baik dr pembuat kebijakan. Coba liat korsel yg beredar di dlm negri kl ga hyundai ya kia. brands mahal impor cuman dimiliki kaum Chaebol. Di sana mana ada Toyota Honda...","1796412031668756936","","sociotalker","in","","0","0","0","https://x.com/man_tan_x/status/1796412031668756936","1714079246849585152","man_tan_x"
"1794345217510023286","Sat May 25 12:30:11 +0000 2024","4","Kia Hyundai lol https://t.co/xasPVQo1Sk","1794345217510023286","https://pbs.twimg.com/media/GObLdaRWMAA65Ku.jpg","","in","","0","2","0","https://x.com/TwoPeasNAPod2/status/1794345217510023286","1293158845062184962","TwoPeasNAPod2"
